SurveyStepResultKey,SurveyResultKey,ParticipantIdentifier,StepIdentifier,StartDate,EndDate
1277fcde-5349-ed11-aac0-0afb9334277d,f976fcde-5349-ed11-aac0-0afb9334277d,2baee05a-5e5a-4436-8c25-2628d46d1e08,instruction,2022-10-11T06:59:41-04:00,2022-10-11T06:59:42-04:00
1477fcde-5349-ed11-aac0-0afb9334277d,f976fcde-5349-ed11-aac0-0afb9334277d,2baee05a-5e5a-4436-8c25-2628d46d1e08,instruction1,2022-10-11T06:59:42-04:00,2022-10-11T06:59:43-04:00
1777fcde-5349-ed11-aac0-0afb9334277d,f976fcde-5349-ed11-aac0-0afb9334277d,2baee05a-5e5a-4436-8c25-2628d46d1e08,instruction2,2022-10-11T06:59:43-04:00,2022-10-11T06:59:43-04:00
1a77fcde-5349-ed11-aac0-0afb9334277d,f976fcde-5349-ed11-aac0-0afb9334277d,2baee05a-5e5a-4436-8c25-2628d46d1e08,countdown,2022-10-11T06:59:43-04:00,2022-10-11T06:59:49-04:00
1d77fcde-5349-ed11-aac0-0afb9334277d,f976fcde-5349-ed11-aac0-0afb9334277d,2baee05a-5e5a-4436-8c25-2628d46d1e08,stroop,2022-10-11T06:59:49-04:00,2022-10-11T07:00:15-04:00
2277fcde-5349-ed11-aac0-0afb9334277d,f976fcde-5349-ed11-aac0-0afb9334277d,2baee05a-5e5a-4436-8c25-2628d46d1e08,conclusion,2022-10-11T07:00:15-04:00,2022-10-11T07:00:16-04:00
b488eb81-5649-ed11-aac0-0afb9334277d,ac88eb81-5649-ed11-aac0-0afb9334277d,329e2c06-a903-44ce-a409-8ed8c580b124,instruction,2022-10-11T07:18:39-04:00,2022-10-11T07:18:39-04:00
b588eb81-5649-ed11-aac0-0afb9334277d,ac88eb81-5649-ed11-aac0-0afb9334277d,329e2c06-a903-44ce-a409-8ed8c580b124,instruction1,2022-10-11T07:18:39-04:00,2022-10-11T07:18:40-04:00
b688eb81-5649-ed11-aac0-0afb9334277d,ac88eb81-5649-ed11-aac0-0afb9334277d,329e2c06-a903-44ce-a409-8ed8c580b124,reactionTime,2022-10-11T07:18:40-04:00,2022-10-11T07:19:07-04:00
b788eb81-5649-ed11-aac0-0afb9334277d,ac88eb81-5649-ed11-aac0-0afb9334277d,329e2c06-a903-44ce-a409-8ed8c580b124,conclusion,2022-10-11T07:19:07-04:00,2022-10-11T07:19:08-04:00
d95acc99-5649-ed11-aac0-0afb9334277d,ce5acc99-5649-ed11-aac0-0afb9334277d,329e2c06-a903-44ce-a409-8ed8c580b124,instruction,2022-10-11T07:19:13-04:00,2022-10-11T07:19:14-04:00
da5acc99-5649-ed11-aac0-0afb9334277d,ce5acc99-5649-ed11-aac0-0afb9334277d,329e2c06-a903-44ce-a409-8ed8c580b124,instruction1,2022-10-11T07:19:14-04:00,2022-10-11T07:19:14-04:00
db5acc99-5649-ed11-aac0-0afb9334277d,ce5acc99-5649-ed11-aac0-0afb9334277d,329e2c06-a903-44ce-a409-8ed8c580b124,instruction2,2022-10-11T07:19:14-04:00,2022-10-11T07:19:15-04:00
dc5acc99-5649-ed11-aac0-0afb9334277d,ce5acc99-5649-ed11-aac0-0afb9334277d,329e2c06-a903-44ce-a409-8ed8c580b124,countdown,2022-10-11T07:19:15-04:00,2022-10-11T07:19:20-04:00
dd5acc99-5649-ed11-aac0-0afb9334277d,ce5acc99-5649-ed11-aac0-0afb9334277d,329e2c06-a903-44ce-a409-8ed8c580b124,stroop,2022-10-11T07:19:20-04:00,2022-10-11T07:19:49-04:00
df5acc99-5649-ed11-aac0-0afb9334277d,ce5acc99-5649-ed11-aac0-0afb9334277d,329e2c06-a903-44ce-a409-8ed8c580b124,conclusion,2022-10-11T07:19:49-04:00,2022-10-11T07:19:50-04:00
9637c49f-5649-ed11-aac0-0afb9334277d,8537c49f-5649-ed11-aac0-0afb9334277d,329e2c06-a903-44ce-a409-8ed8c580b124,instruction,2022-10-11T07:19:56-04:00,2022-10-11T07:19:56-04:00
9737c49f-5649-ed11-aac0-0afb9334277d,8537c49f-5649-ed11-aac0-0afb9334277d,329e2c06-a903-44ce-a409-8ed8c580b124,instruction1,2022-10-11T07:19:56-04:00,2022-10-11T07:19:57-04:00
9a37c49f-5649-ed11-aac0-0afb9334277d,8537c49f-5649-ed11-aac0-0afb9334277d,329e2c06-a903-44ce-a409-8ed8c580b124,towerOfHanoi,2022-10-11T07:19:57-04:00,2022-10-11T07:19:58-04:00
9b37c49f-5649-ed11-aac0-0afb9334277d,8537c49f-5649-ed11-aac0-0afb9334277d,329e2c06-a903-44ce-a409-8ed8c580b124,conclusion,2022-10-11T07:19:58-04:00,2022-10-11T07:20:00-04:00
f9fbef96-5849-ed11-aac0-0afb9334277d,f2fbef96-5849-ed11-aac0-0afb9334277d,7d501571-5d23-4f09-9266-1644f4f71add,current_situation1_tasks,2022-10-11T07:33:50-04:00,2022-10-11T07:33:54-04:00
fbfbef96-5849-ed11-aac0-0afb9334277d,f2fbef96-5849-ed11-aac0-0afb9334277d,7d501571-5d23-4f09-9266-1644f4f71add,task_motivation,2022-10-11T07:33:54-04:00,2022-10-11T07:33:57-04:00
8600c1c6-5849-ed11-aac0-0afb9334277d,7200c1c6-5849-ed11-aac0-0afb9334277d,7d501571-5d23-4f09-9266-1644f4f71add,affect_intro,2022-10-11T07:34:02-04:00,2022-10-11T07:34:15-04:00
8a00c1c6-5849-ed11-aac0-0afb9334277d,7200c1c6-5849-ed11-aac0-0afb9334277d,7d501571-5d23-4f09-9266-1644f4f71add,affect_neg_frustrated_am,2022-10-11T07:34:15-04:00,2022-10-11T07:34:20-04:00
8d00c1c6-5849-ed11-aac0-0afb9334277d,7200c1c6-5849-ed11-aac0-0afb9334277d,7d501571-5d23-4f09-9266-1644f4f71add,affect_pos_relaxedCalm_am,2022-10-11T07:34:21-04:00,2022-10-11T07:34:23-04:00
9000c1c6-5849-ed11-aac0-0afb9334277d,7200c1c6-5849-ed11-aac0-0afb9334277d,7d501571-5d23-4f09-9266-1644f4f71add,affect_neg_ashamed_am,2022-10-11T07:34:23-04:00,2022-10-11T07:34:27-04:00
9200c1c6-5849-ed11-aac0-0afb9334277d,7200c1c6-5849-ed11-aac0-0afb9334277d,7d501571-5d23-4f09-9266-1644f4f71add,affect_pos_excited_am,2022-10-11T07:34:27-04:00,2022-10-11T07:34:30-04:00
9300c1c6-5849-ed11-aac0-0afb9334277d,7200c1c6-5849-ed11-aac0-0afb9334277d,7d501571-5d23-4f09-9266-1644f4f71add,affect_neg_stressed_am,2022-10-11T07:34:31-04:00,2022-10-11T07:34:32-04:00
