SurveyResultKey,SurveyKey,SurveyName,SurveyVersion,ParticipantIdentifier,SurveyTaskKey,Type,StartDate,EndDate,DevicePlatform,DeviceName,DeviceOSVersion,InsertedDate
78f64a06-8b53-ed11-aac1-0afb9334277d,a440594e-cf64-eb11-aaa4-0afb9334277d,task_hk_reaction_time,0,c62ae7a2-6fe6-4fd5-9b9e-93773b08d8b9,2273b658-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T06:59:46-04:00,2022-10-24T07:00:13-04:00,iOS,"iPhone12,3",15.1,2022-10-24T11:00:13Z
c43a3218-8b53-ed11-aac1-0afb9334277d,a440594e-cf64-eb11-aaa4-0afb9334277d,task_hk_reaction_time,0,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,3874b658-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:00:02-04:00,2022-10-24T07:00:41-04:00,iOS,"iPhone14,4",16.0,2022-10-24T11:00:41Z
29742a1e-8b53-ed11-aac1-0afb9334277d,956c3f6c-cf64-eb11-aaa4-0afb9334277d,task_hk_stroop,1,c62ae7a2-6fe6-4fd5-9b9e-93773b08d8b9,6175b658-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:00:18-04:00,2022-10-24T07:00:50-04:00,iOS,"iPhone12,3",15.1,2022-10-24T11:00:50Z
dd101c2a-8b53-ed11-aac1-0afb9334277d,30b5277e-cf64-eb11-aaa4-0afb9334277d,task_hk_tower_of_hanoi,0,c62ae7a2-6fe6-4fd5-9b9e-93773b08d8b9,3677b658-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:00:55-04:00,2022-10-24T07:01:14-04:00,iOS,"iPhone12,3",15.1,2022-10-24T11:01:14Z
96141c2a-8b53-ed11-aac1-0afb9334277d,956c3f6c-cf64-eb11-aaa4-0afb9334277d,task_hk_stroop,1,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,7e76b658-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:00:46-04:00,2022-10-24T07:01:18-04:00,iOS,"iPhone14,4",16.0,2022-10-24T11:01:18Z
d69e0b36-8b53-ed11-aac1-0afb9334277d,448c340b-ed6b-eb11-aaa4-0afb9334277d,task_hk_trail_making,0,c62ae7a2-6fe6-4fd5-9b9e-93773b08d8b9,c778b658-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:01:19-04:00,2022-10-24T07:01:33-04:00,iOS,"iPhone12,3",15.1,2022-10-24T11:01:33Z
9c6cfc41-8b53-ed11-aac1-0afb9334277d,1dbf3011-565c-ec11-aab5-0afb9334277d,task_hk_trailmaking_a1,1,c62ae7a2-6fe6-4fd5-9b9e-93773b08d8b9,867ab658-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:01:39-04:00,2022-10-24T07:01:52-04:00,iOS,"iPhone12,3",15.1,2022-10-24T11:01:52Z
c53ce753-8b53-ed11-aac1-0afb9334277d,30b5277e-cf64-eb11-aaa4-0afb9334277d,task_hk_tower_of_hanoi,0,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,0d78b658-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:01:28-04:00,2022-10-24T07:02:20-04:00,iOS,"iPhone14,4",16.0,2022-10-24T11:02:20Z
f97bdb5f-8b53-ed11-aac1-0afb9334277d,448c340b-ed6b-eb11-aaa4-0afb9334277d,task_hk_trail_making,0,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,a879b658-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:02:26-04:00,2022-10-24T07:02:44-04:00,iOS,"iPhone14,4",16.0,2022-10-24T11:02:44Z
87fbd077-8b53-ed11-aac1-0afb9334277d,1dbf3011-565c-ec11-aab5-0afb9334277d,task_hk_trailmaking_a1,1,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,7f7bb658-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:03:11-04:00,2022-10-24T07:03:25-04:00,iOS,"iPhone14,4",16.0,2022-10-24T11:03:26Z
ea3fc97d-8b53-ed11-aac1-0afb9334277d,4bfb5eb9-9e7f-eb11-aaa6-0afb9334277d,task_hk_addition_task,2,c62ae7a2-6fe6-4fd5-9b9e-93773b08d8b9,407cb658-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:01:57-04:00,2022-10-24T07:03:37-04:00,iOS,"iPhone12,3",15.1,2022-10-24T11:03:37Z
3740ca9b-8b53-ed11-aac1-0afb9334277d,217f9e1b-e767-eb11-aaa4-0afb9334277d,task_hk_spatial_span_memory,1,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,cd0fb45e-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:03:31-04:00,2022-10-24T07:04:20-04:00,iOS,"iPhone14,4",16.0,2022-10-24T11:04:20Z
829cc2a1-8b53-ed11-aac1-0afb9334277d,217f9e1b-e767-eb11-aaa4-0afb9334277d,task_hk_spatial_span_memory,1,c62ae7a2-6fe6-4fd5-9b9e-93773b08d8b9,387eb658-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:03:41-04:00,2022-10-24T07:04:33-04:00,iOS,"iPhone12,3",15.1,2022-10-24T11:04:34Z
2c92a7b9-8b53-ed11-aac1-0afb9334277d,42ec94da-5e37-ec11-aab3-0afb9334277d,task_custom_bart-left-skewed,13,c62ae7a2-6fe6-4fd5-9b9e-93773b08d8b9,b910b45e-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:04:40-04:00,2022-10-24T07:05:14-04:00,iOS,"iPhone12,3",15.1,2022-10-24T11:05:14Z
602fccdd-8b53-ed11-aac1-0afb9334277d,4bfb5eb9-9e7f-eb11-aaa6-0afb9334277d,task_hk_addition_task,2,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,3e7db658-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:04:29-04:00,2022-10-24T07:06:12-04:00,iOS,"iPhone14,4",16.0,2022-10-24T11:06:12Z
fa9bc2ef-8b53-ed11-aac1-0afb9334277d,dc3a72f8-5e37-ec11-aab3-0afb9334277d,task_custom_emotional-stroop,10,c62ae7a2-6fe6-4fd5-9b9e-93773b08d8b9,a412b45e-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:05:17-04:00,2022-10-24T07:06:50-04:00,iOS,"iPhone12,3",15.1,2022-10-24T11:06:50Z
27969d0d-8c53-ed11-aac1-0afb9334277d,9b8c2783-5635-ed11-aabf-0afb9334277d,task_custom_gonogo,32,c62ae7a2-6fe6-4fd5-9b9e-93773b08d8b9,fe14b45e-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:06:55-04:00,2022-10-24T07:07:34-04:00,iOS,"iPhone12,3",15.1,2022-10-24T11:07:34Z
f3179613-8c53-ed11-aac1-0afb9334277d,56b6df2e-ae3c-ec11-aab3-0afb9334277d,task_custom_effort-avoidance-reward-motivation,66,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,ab18b45e-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:06:28-04:00,2022-10-24T07:07:47-04:00,iOS,"iPhone14,4",16.0,2022-10-24T11:07:49Z
c0137e31-8c53-ed11-aac1-0afb9334277d,9b8c2783-5635-ed11-aabf-0afb9334277d,task_custom_gonogo,32,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,c716b45e-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:07:54-04:00,2022-10-24T07:08:33-04:00,iOS,"iPhone14,4",16.0,2022-10-24T11:08:33Z
e4517637-8c53-ed11-aac1-0afb9334277d,56b6df2e-ae3c-ec11-aab3-0afb9334277d,task_custom_effort-avoidance-reward-motivation,66,c62ae7a2-6fe6-4fd5-9b9e-93773b08d8b9,8617b45e-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:07:38-04:00,2022-10-24T07:08:51-04:00,iOS,"iPhone12,3",15.1,2022-10-24T11:08:51Z
8a315e49-8c53-ed11-aac1-0afb9334277d,6a556f5c-ec31-ec11-aab2-0afb9334277d,task_survey_NASA_TLX,3,c62ae7a2-6fe6-4fd5-9b9e-93773b08d8b9,b919b45e-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:08:58-04:00,2022-10-24T07:09:16-04:00,iOS,"iPhone12,3",15.1,2022-10-24T11:09:16Z
40f2b455-8c53-ed11-aac1-0afb9334277d,65539085-f331-ec11-aab2-0afb9334277d,task_survey_motivation,5,6b827de8-fe47-4007-aad3-202655b954e3,d3d5bd52-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:09:33-04:00,2022-10-24T07:09:39-04:00,iOS,"iPhone13,2",15.6.1,2022-10-24T11:09:39Z
1d709491-8c53-ed11-aac1-0afb9334277d,98a85f7f-e2d6-ec11-aaba-0afb9334277d,survey_daily-affect-custom-morning,2,6b827de8-fe47-4007-aad3-202655b954e3,db70b658-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:10:31-04:00,2022-10-24T07:11:13-04:00,iOS,"iPhone13,2",15.6.1,2022-10-24T11:11:13Z
e5987da3-8c53-ed11-aac1-0afb9334277d,a440594e-cf64-eb11-aaa4-0afb9334277d,task_hk_reaction_time,0,6b827de8-fe47-4007-aad3-202655b954e3,5673b658-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:11:17-04:00,2022-10-24T07:11:45-04:00,iOS,"iPhone13,2",15.6.1,2022-10-24T11:11:45Z
3e936cbb-8c53-ed11-aac1-0afb9334277d,956c3f6c-cf64-eb11-aaa4-0afb9334277d,task_hk_stroop,1,6b827de8-fe47-4007-aad3-202655b954e3,9575b658-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:11:49-04:00,2022-10-24T07:12:25-04:00,iOS,"iPhone13,2",15.6.1,2022-10-24T11:12:25Z
a31d92df-8c53-ed11-aac1-0afb9334277d,30b5277e-cf64-eb11-aaa4-0afb9334277d,task_hk_tower_of_hanoi,0,6b827de8-fe47-4007-aad3-202655b954e3,5e77b658-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:12:28-04:00,2022-10-24T07:13:32-04:00,iOS,"iPhone13,2",15.6.1,2022-10-24T11:13:32Z
826b7ff1-8c53-ed11-aac1-0afb9334277d,448c340b-ed6b-eb11-aaa4-0afb9334277d,task_hk_trail_making,0,6b827de8-fe47-4007-aad3-202655b954e3,ec78b658-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:13:36-04:00,2022-10-24T07:13:55-04:00,iOS,"iPhone13,2",15.6.1,2022-10-24T11:13:55Z
684497fd-8c53-ed11-aac1-0afb9334277d,1dbf3011-565c-ec11-aab5-0afb9334277d,task_hk_trailmaking_a1,1,6b827de8-fe47-4007-aad3-202655b954e3,af7ab658-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:13:59-04:00,2022-10-24T07:14:17-04:00,iOS,"iPhone13,2",15.6.1,2022-10-24T11:14:17Z
2ed5830f-8d53-ed11-aac1-0afb9334277d,dc3a72f8-5e37-ec11-aab3-0afb9334277d,task_custom_emotional-stroop,10,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,c413b45e-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:13:21-04:00,2022-10-24T07:14:52-04:00,iOS,"iPhone14,4",16.0,2022-10-24T11:14:52Z
b74c583f-8d53-ed11-aac1-0afb9334277d,4bfb5eb9-9e7f-eb11-aaa6-0afb9334277d,task_hk_addition_task,2,6b827de8-fe47-4007-aad3-202655b954e3,697cb658-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:14:22-04:00,2022-10-24T07:16:04-04:00,iOS,"iPhone13,2",15.6.1,2022-10-24T11:16:04Z
5d4d583f-8d53-ed11-aac1-0afb9334277d,42ec94da-5e37-ec11-aab3-0afb9334277d,task_custom_bart-left-skewed,13,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,de11b45e-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:14:56-04:00,2022-10-24T07:16:04-04:00,iOS,"iPhone14,4",16.0,2022-10-24T11:16:05Z
638b484b-8d53-ed11-aac1-0afb9334277d,6a556f5c-ec31-ec11-aab2-0afb9334277d,task_survey_NASA_TLX,3,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,f51ab45e-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:16:11-04:00,2022-10-24T07:16:25-04:00,iOS,"iPhone14,4",16.0,2022-10-24T11:16:26Z
1b372a63-8d53-ed11-aac1-0afb9334277d,217f9e1b-e767-eb11-aaa4-0afb9334277d,task_hk_spatial_span_memory,1,6b827de8-fe47-4007-aad3-202655b954e3,6a7eb658-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:16:09-04:00,2022-10-24T07:17:09-04:00,iOS,"iPhone13,2",15.6.1,2022-10-24T11:17:09Z
75680a87-8d53-ed11-aac1-0afb9334277d,42ec94da-5e37-ec11-aab3-0afb9334277d,task_custom_bart-left-skewed,13,6b827de8-fe47-4007-aad3-202655b954e3,e010b45e-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:17:14-04:00,2022-10-24T07:18:13-04:00,iOS,"iPhone13,2",15.6.1,2022-10-24T11:18:13Z
9c24fdaa-8d53-ed11-aac1-0afb9334277d,4bfb5eb9-9e7f-eb11-aaa6-0afb9334277d,task_hk_addition_task,2,412330b3-cc02-4030-96cd-f4cfdcc45fa6,567cb658-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:17:19-04:00,2022-10-24T07:19:08-04:00,iOS,"iPhone13,2",16.0,2022-10-24T11:19:08Z
3dbee7c8-8d53-ed11-aac1-0afb9334277d,dc3a72f8-5e37-ec11-aab3-0afb9334277d,task_custom_emotional-stroop,10,6b827de8-fe47-4007-aad3-202655b954e3,d112b45e-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:18:18-04:00,2022-10-24T07:19:57-04:00,iOS,"iPhone13,2",15.6.1,2022-10-24T11:19:57Z
4fefd8d4-8d53-ed11-aac1-0afb9334277d,217f9e1b-e767-eb11-aaa4-0afb9334277d,task_hk_spatial_span_memory,1,412330b3-cc02-4030-96cd-f4cfdcc45fa6,557eb658-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:19:14-04:00,2022-10-24T07:20:18-04:00,iOS,"iPhone13,2",16.0,2022-10-24T11:20:18Z
8675d3e0-8d53-ed11-aac1-0afb9334277d,9b8c2783-5635-ed11-aabf-0afb9334277d,task_custom_gonogo,32,6b827de8-fe47-4007-aad3-202655b954e3,3d15b45e-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:20:01-04:00,2022-10-24T07:20:42-04:00,iOS,"iPhone13,2",15.6.1,2022-10-24T11:20:42Z
fbe8cc10-8e53-ed11-aac1-0afb9334277d,42ec94da-5e37-ec11-aab3-0afb9334277d,task_custom_bart-left-skewed,13,412330b3-cc02-4030-96cd-f4cfdcc45fa6,d410b45e-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:20:24-04:00,2022-10-24T07:21:56-04:00,iOS,"iPhone13,2",16.0,2022-10-24T11:21:56Z
83ebcc10-8e53-ed11-aac1-0afb9334277d,56b6df2e-ae3c-ec11-aab3-0afb9334277d,task_custom_effort-avoidance-reward-motivation,66,6b827de8-fe47-4007-aad3-202655b954e3,e417b45e-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:20:45-04:00,2022-10-24T07:22:00-04:00,iOS,"iPhone13,2",15.6.1,2022-10-24T11:22:00Z
d8aebe1c-8e53-ed11-aac1-0afb9334277d,6a556f5c-ec31-ec11-aab2-0afb9334277d,task_survey_NASA_TLX,3,6b827de8-fe47-4007-aad3-202655b954e3,f319b45e-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:22:07-04:00,2022-10-24T07:22:23-04:00,iOS,"iPhone13,2",15.6.1,2022-10-24T11:22:23Z
5f49b528-8e53-ed11-aac1-0afb9334277d,9b8c2783-5635-ed11-aabf-0afb9334277d,task_custom_gonogo,32,412330b3-cc02-4030-96cd-f4cfdcc45fa6,2c15b45e-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:22:01-04:00,2022-10-24T07:22:40-04:00,iOS,"iPhone13,2",16.0,2022-10-24T11:22:40Z
4b2d1ac4-8e53-ed11-aac1-0afb9334277d,dc3a72f8-5e37-ec11-aab3-0afb9334277d,task_custom_emotional-stroop,10,412330b3-cc02-4030-96cd-f4cfdcc45fa6,ca12b45e-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:22:48-04:00,2022-10-24T07:26:56-04:00,iOS,"iPhone13,2",16.0,2022-10-24T11:26:58Z
b102f3ff-8e53-ed11-aac1-0afb9334277d,56b6df2e-ae3c-ec11-aab3-0afb9334277d,task_custom_effort-avoidance-reward-motivation,66,412330b3-cc02-4030-96cd-f4cfdcc45fa6,a417b45e-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:27:09-04:00,2022-10-24T07:28:35-04:00,iOS,"iPhone13,2",16.0,2022-10-24T11:28:37Z
6834f41d-8f53-ed11-aac1-0afb9334277d,6a556f5c-ec31-ec11-aab2-0afb9334277d,task_survey_NASA_TLX,3,412330b3-cc02-4030-96cd-f4cfdcc45fa6,db19b45e-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T07:28:47-04:00,2022-10-24T07:29:33-04:00,iOS,"iPhone13,2",16.0,2022-10-24T11:29:33Z
cd48169c-9353-ed11-aac1-0afb9334277d,65539085-f331-ec11-aab2-0afb9334277d,task_survey_motivation,5,a33e1d38-6ee8-4da6-993b-a94a8ae7fc30,9bd7bd52-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T08:01:41-04:00,2022-10-24T08:01:46-04:00,iOS,"iPhone14,5",16.0.3,2022-10-24T12:01:46Z
112013c0-9353-ed11-aac1-0afb9334277d,98a85f7f-e2d6-ec11-aaba-0afb9334277d,survey_daily-affect-custom-morning,2,a33e1d38-6ee8-4da6-993b-a94a8ae7fc30,a772b658-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T08:01:55-04:00,2022-10-24T08:02:41-04:00,iOS,"iPhone14,5",16.0.3,2022-10-24T12:02:41Z
cd7a02de-9353-ed11-aac1-0afb9334277d,a440594e-cf64-eb11-aaa4-0afb9334277d,task_hk_reaction_time,0,a33e1d38-6ee8-4da6-993b-a94a8ae7fc30,c674b658-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T08:03:10-04:00,2022-10-24T08:03:36-04:00,iOS,"iPhone14,5",16.0.3,2022-10-24T12:03:36Z
0c73dffb-9353-ed11-aac1-0afb9334277d,956c3f6c-cf64-eb11-aaa4-0afb9334277d,task_hk_stroop,1,a33e1d38-6ee8-4da6-993b-a94a8ae7fc30,dd76b658-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T08:03:47-04:00,2022-10-24T08:04:26-04:00,iOS,"iPhone14,5",16.0.3,2022-10-24T12:04:26Z
36d7ba19-9453-ed11-aac1-0afb9334277d,448c340b-ed6b-eb11-aaa4-0afb9334277d,task_hk_trail_making,0,a33e1d38-6ee8-4da6-993b-a94a8ae7fc30,217ab658-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T08:04:58-04:00,2022-10-24T08:05:15-04:00,iOS,"iPhone14,5",16.0.3,2022-10-24T12:05:15Z
45e4df48-9853-ed11-aac1-0afb9334277d,65539085-f331-ec11-aab2-0afb9334277d,task_survey_motivation,5,c2097f36-4ca3-4537-856d-a649d1557553,26d6bd52-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T08:35:00-04:00,2022-10-24T08:35:13-04:00,iOS,"iPhone11,8",16.0.2,2022-10-24T12:35:14Z
3749c360-9853-ed11-aac1-0afb9334277d,98a85f7f-e2d6-ec11-aaba-0afb9334277d,survey_daily-affect-custom-morning,2,c2097f36-4ca3-4537-856d-a649d1557553,2371b658-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T08:35:17-04:00,2022-10-24T08:35:45-04:00,iOS,"iPhone11,8",16.0.2,2022-10-24T12:35:45Z
a119d972-9853-ed11-aac1-0afb9334277d,a440594e-cf64-eb11-aaa4-0afb9334277d,task_hk_reaction_time,0,c2097f36-4ca3-4537-856d-a649d1557553,a173b658-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T08:35:50-04:00,2022-10-24T08:36:25-04:00,iOS,"iPhone11,8",16.0.2,2022-10-24T12:36:25Z
cd5a1080-9953-ed11-aac1-0afb9334277d,956c3f6c-cf64-eb11-aaa4-0afb9334277d,task_hk_stroop,1,c2097f36-4ca3-4537-856d-a649d1557553,d575b658-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T08:43:11-04:00,2022-10-24T08:43:51-04:00,iOS,"iPhone11,8",16.0.2,2022-10-24T12:43:51Z
269f4b98-9953-ed11-aac1-0afb9334277d,448c340b-ed6b-eb11-aaa4-0afb9334277d,task_hk_trail_making,0,c2097f36-4ca3-4537-856d-a649d1557553,2579b658-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T08:44:01-04:00,2022-10-24T08:44:34-04:00,iOS,"iPhone11,8",16.0.2,2022-10-24T12:44:34Z
29ea42aa-9953-ed11-aac1-0afb9334277d,1dbf3011-565c-ec11-aab5-0afb9334277d,task_hk_trailmaking_a1,1,c2097f36-4ca3-4537-856d-a649d1557553,d97ab658-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T08:44:39-04:00,2022-10-24T08:45:06-04:00,iOS,"iPhone11,8",16.0.2,2022-10-24T12:45:06Z
332f35b6-9953-ed11-aac1-0afb9334277d,65539085-f331-ec11-aab2-0afb9334277d,task_survey_motivation,5,bf670311-c590-473a-98ab-d719ebf0f2ab,3bd5bd52-7c53-ed11-aac1-0afb9334277d,Survey,2022-10-24T08:45:20-04:00,2022-10-24T08:45:24-04:00,iOS,"iPhone11,8",15.6.1,2022-10-24T12:45:24Z
