SurveyQuestionResultKey,SurveyStepResultKey,SurveyResultKey,ParticipantIdentifier,ResultIdentifier,Answers,StartDate,EndDate
fb3654e3-9d5a-ed11-aac1-0afb9334277d,4c3654e3-9d5a-ed11-aac1-0afb9334277d,893554e3-9d5a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,task_custom_emoStroop_info,complete,2022-11-02T06:51:35-04:00,2022-11-02T06:51:35-04:00
283754e3-9d5a-ed11-aac1-0afb9334277d,603654e3-9d5a-ed11-aac1-0afb9334277d,893554e3-9d5a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,task_custom_emoStroop_trial1,"{""emotion"":""angry"",""text"":""happy"",""startTime"":2335,""endTime"":4026,""chosenEmotion"":""angry"",""correctness"":""incorrect""}",2022-11-02T06:51:42-04:00,2022-11-02T06:51:42-04:00
393754e3-9d5a-ed11-aac1-0afb9334277d,633654e3-9d5a-ed11-aac1-0afb9334277d,893554e3-9d5a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,task_custom_emoStroop_trial2,"{""emotion"":""angry"",""text"":""happy"",""startTime"":3007,""endTime"":4067,""chosenEmotion"":""angry"",""correctness"":""incorrect""}",2022-11-02T06:51:46-04:00,2022-11-02T06:51:46-04:00
5f3754e3-9d5a-ed11-aac1-0afb9334277d,913654e3-9d5a-ed11-aac1-0afb9334277d,893554e3-9d5a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,task_custom_emoStroop_trial3,"{""emotion"":""sad"",""text"":""happy"",""startTime"":4449,""endTime"":5872,""chosenEmotion"":""sad"",""correctness"":""incorrect""}",2022-11-02T06:58:04-04:00,2022-11-02T06:58:04-04:00
ba3754e3-9d5a-ed11-aac1-0afb9334277d,943654e3-9d5a-ed11-aac1-0afb9334277d,893554e3-9d5a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,task_custom_emoStroop_trial4,"{""emotion"":""sad"",""text"":""angry"",""startTime"":4125,""endTime"":5841,""chosenEmotion"":""sad"",""correctness"":""incorrect""}",2022-11-02T06:58:09-04:00,2022-11-02T06:58:09-04:00
c63754e3-9d5a-ed11-aac1-0afb9334277d,993654e3-9d5a-ed11-aac1-0afb9334277d,893554e3-9d5a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,task_custom_emoStroop_trial5,"{""emotion"":""sad"",""text"":""angry"",""startTime"":2129,""endTime"":3149,""chosenEmotion"":""sad"",""correctness"":""incorrect""}",2022-11-02T06:58:13-04:00,2022-11-02T06:58:13-04:00
ce3754e3-9d5a-ed11-aac1-0afb9334277d,9c3654e3-9d5a-ed11-aac1-0afb9334277d,893554e3-9d5a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,task_custom_emoStroop_trial6,"{""emotion"":""sad"",""text"":""happy"",""startTime"":6164,""endTime"":6946,""chosenEmotion"":""sad"",""correctness"":""incorrect""}",2022-11-02T06:58:20-04:00,2022-11-02T06:58:20-04:00
0d3854e3-9d5a-ed11-aac1-0afb9334277d,9f3654e3-9d5a-ed11-aac1-0afb9334277d,893554e3-9d5a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,task_custom_emoStroop_trial7,"{""emotion"":""sad"",""text"":""angry"",""startTime"":2139.0000000000005,""endTime"":3265,""chosenEmotion"":""sad"",""correctness"":""incorrect""}",2022-11-02T06:58:23-04:00,2022-11-02T06:58:23-04:00
3a3854e3-9d5a-ed11-aac1-0afb9334277d,a33654e3-9d5a-ed11-aac1-0afb9334277d,893554e3-9d5a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,task_custom_emoStroop_trial8,"{""emotion"":""angry"",""text"":""angry"",""startTime"":6134,""endTime"":7830,""chosenEmotion"":""angry"",""correctness"":""correct""}",2022-11-02T06:58:31-04:00,2022-11-02T06:58:31-04:00
7d3854e3-9d5a-ed11-aac1-0afb9334277d,a63654e3-9d5a-ed11-aac1-0afb9334277d,893554e3-9d5a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,task_custom_emoStroop_trial9,"{""emotion"":""angry"",""text"":""angry"",""startTime"":2438,""endTime"":4593,""chosenEmotion"":""angry"",""correctness"":""correct""}",2022-11-02T07:02:18-04:00,2022-11-02T07:02:18-04:00
f93854e3-9d5a-ed11-aac1-0afb9334277d,a73654e3-9d5a-ed11-aac1-0afb9334277d,893554e3-9d5a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,task_custom_emoStroop_trial10,"{""emotion"":""sad"",""text"":""sad"",""startTime"":2085,""endTime"":3244,""chosenEmotion"":""sad"",""correctness"":""correct""}",2022-11-02T07:02:21-04:00,2022-11-02T07:02:21-04:00
6c3954e3-9d5a-ed11-aac1-0afb9334277d,a93654e3-9d5a-ed11-aac1-0afb9334277d,893554e3-9d5a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,task_custom_emoStroop_trial11,"{""emotion"":""angry"",""text"":""angry"",""startTime"":6152,""endTime"":8027.000000000001,""chosenEmotion"":""angry"",""correctness"":""correct""}",2022-11-02T07:02:29-04:00,2022-11-02T07:02:29-04:00
743954e3-9d5a-ed11-aac1-0afb9334277d,c63654e3-9d5a-ed11-aac1-0afb9334277d,893554e3-9d5a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,task_custom_emoStroop_trial12,"{""emotion"":""angry"",""text"":""angry"",""startTime"":6089,""endTime"":7245,""chosenEmotion"":""angry"",""correctness"":""correct""}",2022-11-02T07:02:37-04:00,2022-11-02T07:02:37-04:00
8d3954e3-9d5a-ed11-aac1-0afb9334277d,c83654e3-9d5a-ed11-aac1-0afb9334277d,893554e3-9d5a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,task_custom_emoStroop_trial13,"{""emotion"":""happy"",""text"":""happy"",""startTime"":5007,""endTime"":6211,""chosenEmotion"":""happy"",""correctness"":""correct""}",2022-11-02T07:02:43-04:00,2022-11-02T07:02:43-04:00
a23954e3-9d5a-ed11-aac1-0afb9334277d,c93654e3-9d5a-ed11-aac1-0afb9334277d,893554e3-9d5a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,task_custom_emoStroop_trial14,"{""emotion"":""angry"",""text"":""angry"",""startTime"":3088,""endTime"":4344,""chosenEmotion"":""angry"",""correctness"":""correct""}",2022-11-02T07:02:47-04:00,2022-11-02T07:02:47-04:00
a83954e3-9d5a-ed11-aac1-0afb9334277d,cb3654e3-9d5a-ed11-aac1-0afb9334277d,893554e3-9d5a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,task_custom_emoStroop_trial15,"{""emotion"":""angry"",""text"":""sad"",""startTime"":2192,""endTime"":3863,""chosenEmotion"":""angry"",""correctness"":""incorrect""}",2022-11-02T07:02:51-04:00,2022-11-02T07:02:51-04:00
b03954e3-9d5a-ed11-aac1-0afb9334277d,cd3654e3-9d5a-ed11-aac1-0afb9334277d,893554e3-9d5a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,task_custom_emoStroop_complete,complete,2022-11-02T07:02:52-04:00,2022-11-02T07:02:52-04:00
5028da7e-9e5a-ed11-aac1-0afb9334277d,2a28da7e-9e5a-ed11-aac1-0afb9334277d,1c28da7e-9e5a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,ANY_ISSUES,False,2022-11-02T07:07:08-04:00,2022-11-02T07:07:08-04:00
409a30b2-a05a-ed11-aac1-0afb9334277d,2f9a30b2-a05a-ed11-aac1-0afb9334277d,279a30b2-a05a-ed11-aac1-0afb9334277d,c62ae7a2-6fe6-4fd5-9b9e-93773b08d8b9,current_situation1_tasks,alone_task,2022-11-02T07:23:00-04:00,2022-11-02T07:23:01-04:00
459a30b2-a05a-ed11-aac1-0afb9334277d,329a30b2-a05a-ed11-aac1-0afb9334277d,279a30b2-a05a-ed11-aac1-0afb9334277d,c62ae7a2-6fe6-4fd5-9b9e-93773b08d8b9,task_motivation,6,2022-11-02T07:23:02-04:00,2022-11-02T07:23:04-04:00
620a25c4-a05a-ed11-aac1-0afb9334277d,430a25c4-a05a-ed11-aac1-0afb9334277d,3b0a25c4-a05a-ed11-aac1-0afb9334277d,c62ae7a2-6fe6-4fd5-9b9e-93773b08d8b9,affect_neg_frustrated_am,1,2022-11-02T07:23:09-04:00,2022-11-02T07:23:10-04:00
650a25c4-a05a-ed11-aac1-0afb9334277d,440a25c4-a05a-ed11-aac1-0afb9334277d,3b0a25c4-a05a-ed11-aac1-0afb9334277d,c62ae7a2-6fe6-4fd5-9b9e-93773b08d8b9,affect_pos_relaxedCalm_am,5,2022-11-02T07:23:10-04:00,2022-11-02T07:23:11-04:00
680a25c4-a05a-ed11-aac1-0afb9334277d,450a25c4-a05a-ed11-aac1-0afb9334277d,3b0a25c4-a05a-ed11-aac1-0afb9334277d,c62ae7a2-6fe6-4fd5-9b9e-93773b08d8b9,affect_neg_ashamed_am,1,2022-11-02T07:23:11-04:00,2022-11-02T07:23:12-04:00
6b0a25c4-a05a-ed11-aac1-0afb9334277d,470a25c4-a05a-ed11-aac1-0afb9334277d,3b0a25c4-a05a-ed11-aac1-0afb9334277d,c62ae7a2-6fe6-4fd5-9b9e-93773b08d8b9,affect_pos_excited_am,5,2022-11-02T07:23:12-04:00,2022-11-02T07:23:13-04:00
6e0a25c4-a05a-ed11-aac1-0afb9334277d,490a25c4-a05a-ed11-aac1-0afb9334277d,3b0a25c4-a05a-ed11-aac1-0afb9334277d,c62ae7a2-6fe6-4fd5-9b9e-93773b08d8b9,affect_neg_stressed_am,1,2022-11-02T07:23:13-04:00,2022-11-02T07:23:13-04:00
710a25c4-a05a-ed11-aac1-0afb9334277d,4a0a25c4-a05a-ed11-aac1-0afb9334277d,3b0a25c4-a05a-ed11-aac1-0afb9334277d,c62ae7a2-6fe6-4fd5-9b9e-93773b08d8b9,affect_pos_motivated_am,5,2022-11-02T07:23:13-04:00,2022-11-02T07:23:14-04:00
740a25c4-a05a-ed11-aac1-0afb9334277d,4b0a25c4-a05a-ed11-aac1-0afb9334277d,3b0a25c4-a05a-ed11-aac1-0afb9334277d,c62ae7a2-6fe6-4fd5-9b9e-93773b08d8b9,affect_neg_angry_am,1,2022-11-02T07:23:14-04:00,2022-11-02T07:23:15-04:00
770a25c4-a05a-ed11-aac1-0afb9334277d,4c0a25c4-a05a-ed11-aac1-0afb9334277d,3b0a25c4-a05a-ed11-aac1-0afb9334277d,c62ae7a2-6fe6-4fd5-9b9e-93773b08d8b9,affect_pos_happy_am,5,2022-11-02T07:23:15-04:00,2022-11-02T07:23:16-04:00
7a0a25c4-a05a-ed11-aac1-0afb9334277d,4d0a25c4-a05a-ed11-aac1-0afb9334277d,3b0a25c4-a05a-ed11-aac1-0afb9334277d,c62ae7a2-6fe6-4fd5-9b9e-93773b08d8b9,affect_neg_nervousAnxious_am,1,2022-11-02T07:23:16-04:00,2022-11-02T07:23:17-04:00
7d0a25c4-a05a-ed11-aac1-0afb9334277d,4e0a25c4-a05a-ed11-aac1-0afb9334277d,3b0a25c4-a05a-ed11-aac1-0afb9334277d,c62ae7a2-6fe6-4fd5-9b9e-93773b08d8b9,affect_pos_focused_am,5,2022-11-02T07:23:17-04:00,2022-11-02T07:23:18-04:00
800a25c4-a05a-ed11-aac1-0afb9334277d,4f0a25c4-a05a-ed11-aac1-0afb9334277d,3b0a25c4-a05a-ed11-aac1-0afb9334277d,c62ae7a2-6fe6-4fd5-9b9e-93773b08d8b9,affect_neg_lonelyIsolated_am,1,2022-11-02T07:23:18-04:00,2022-11-02T07:23:18-04:00
830a25c4-a05a-ed11-aac1-0afb9334277d,500a25c4-a05a-ed11-aac1-0afb9334277d,3b0a25c4-a05a-ed11-aac1-0afb9334277d,c62ae7a2-6fe6-4fd5-9b9e-93773b08d8b9,affect_neg_guilty_am,1,2022-11-02T07:23:19-04:00,2022-11-02T07:23:19-04:00
870a25c4-a05a-ed11-aac1-0afb9334277d,510a25c4-a05a-ed11-aac1-0afb9334277d,3b0a25c4-a05a-ed11-aac1-0afb9334277d,c62ae7a2-6fe6-4fd5-9b9e-93773b08d8b9,affect_pos_appreciated_am,5,2022-11-02T07:23:19-04:00,2022-11-02T07:23:20-04:00
8e0a25c4-a05a-ed11-aac1-0afb9334277d,520a25c4-a05a-ed11-aac1-0afb9334277d,3b0a25c4-a05a-ed11-aac1-0afb9334277d,c62ae7a2-6fe6-4fd5-9b9e-93773b08d8b9,affect_neg_depressed_am,1,2022-11-02T07:23:20-04:00,2022-11-02T07:23:21-04:00
