SurveyStroopResultKey,SurveyStepResultKey,SurveyResultKey,ParticipantIdentifier,StartTime,EndTime,ColorSelected,Color,Text,StroopStyle,StartDate,EndDate
599d894b-a05a-ed11-aac1-0afb9334277d,399d894b-a05a-ed11-aac1-0afb9334277d,199d894b-a05a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,18397.705779333333,18398.600040041667,RED,RED,RED,,2022-11-02T07:19:41-04:00,2022-11-02T07:19:41-04:00
5d9d894b-a05a-ed11-aac1-0afb9334277d,399d894b-a05a-ed11-aac1-0afb9334277d,199d894b-a05a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,18399.104032208335,18399.847582583334,YELLOW,YELLOW,YELLOW,,2022-11-02T07:19:42-04:00,2022-11-02T07:19:42-04:00
5f9d894b-a05a-ed11-aac1-0afb9334277d,399d894b-a05a-ed11-aac1-0afb9334277d,199d894b-a05a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,18400.349994458335,18401.180027083334,GREEN,GREEN,YELLOW,,2022-11-02T07:19:43-04:00,2022-11-02T07:19:43-04:00
639d894b-a05a-ed11-aac1-0afb9334277d,399d894b-a05a-ed11-aac1-0afb9334277d,199d894b-a05a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,18401.68255991667,18402.362679958336,RED,RED,BLUE,,2022-11-02T07:19:44-04:00,2022-11-02T07:19:44-04:00
659d894b-a05a-ed11-aac1-0afb9334277d,399d894b-a05a-ed11-aac1-0afb9334277d,199d894b-a05a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,18402.865240791667,18403.578809000002,BLUE,BLUE,GREEN,,2022-11-02T07:19:46-04:00,2022-11-02T07:19:46-04:00
679d894b-a05a-ed11-aac1-0afb9334277d,399d894b-a05a-ed11-aac1-0afb9334277d,199d894b-a05a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,18404.081433750001,18404.760990291667,GREEN,GREEN,GREEN,,2022-11-02T07:19:47-04:00,2022-11-02T07:19:47-04:00
6a9d894b-a05a-ed11-aac1-0afb9334277d,399d894b-a05a-ed11-aac1-0afb9334277d,199d894b-a05a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,18405.263327541667,18405.927573541667,GREEN,GREEN,YELLOW,,2022-11-02T07:19:48-04:00,2022-11-02T07:19:48-04:00
6d9d894b-a05a-ed11-aac1-0afb9334277d,399d894b-a05a-ed11-aac1-0afb9334277d,199d894b-a05a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,18406.429870874999,18407.059952166666,RED,RED,RED,,2022-11-02T07:19:49-04:00,2022-11-02T07:19:49-04:00
709d894b-a05a-ed11-aac1-0afb9334277d,399d894b-a05a-ed11-aac1-0afb9334277d,199d894b-a05a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,18407.562309166668,18408.159466041667,RED,RED,RED,,2022-11-02T07:19:50-04:00,2022-11-02T07:19:50-04:00
729d894b-a05a-ed11-aac1-0afb9334277d,399d894b-a05a-ed11-aac1-0afb9334277d,199d894b-a05a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,18408.661848375003,18409.175299958333,RED,RED,YELLOW,,2022-11-02T07:19:51-04:00,2022-11-02T07:19:51-04:00
749d894b-a05a-ed11-aac1-0afb9334277d,399d894b-a05a-ed11-aac1-0afb9334277d,199d894b-a05a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,18409.677623208336,18410.391140791668,BLUE,BLUE,BLUE,,2022-11-02T07:19:52-04:00,2022-11-02T07:19:52-04:00
769d894b-a05a-ed11-aac1-0afb9334277d,399d894b-a05a-ed11-aac1-0afb9334277d,199d894b-a05a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,18410.893718375002,18411.506705750002,BLUE,BLUE,RED,,2022-11-02T07:19:54-04:00,2022-11-02T07:19:54-04:00
7a9d894b-a05a-ed11-aac1-0afb9334277d,399d894b-a05a-ed11-aac1-0afb9334277d,199d894b-a05a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,18412.009127916666,18412.822948500001,GREEN,GREEN,BLUE,,2022-11-02T07:19:55-04:00,2022-11-02T07:19:55-04:00
7c9d894b-a05a-ed11-aac1-0afb9334277d,399d894b-a05a-ed11-aac1-0afb9334277d,199d894b-a05a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,18413.325273375001,18413.905254041667,GREEN,GREEN,RED,,2022-11-02T07:19:56-04:00,2022-11-02T07:19:56-04:00
7f9d894b-a05a-ed11-aac1-0afb9334277d,399d894b-a05a-ed11-aac1-0afb9334277d,199d894b-a05a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,18414.407658333334,18415.804234666666,RED,RED,YELLOW,,2022-11-02T07:19:58-04:00,2022-11-02T07:19:58-04:00
829d894b-a05a-ed11-aac1-0afb9334277d,399d894b-a05a-ed11-aac1-0afb9334277d,199d894b-a05a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,18416.306715666669,18417.086506416668,BLUE,BLUE,BLUE,,2022-11-02T07:19:59-04:00,2022-11-02T07:19:59-04:00
849d894b-a05a-ed11-aac1-0afb9334277d,399d894b-a05a-ed11-aac1-0afb9334277d,199d894b-a05a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,18417.588853708334,18418.252715416667,BLUE,BLUE,BLUE,,2022-11-02T07:20:00-04:00,2022-11-02T07:20:00-04:00
879d894b-a05a-ed11-aac1-0afb9334277d,399d894b-a05a-ed11-aac1-0afb9334277d,199d894b-a05a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,18418.755019708333,18419.951597875002,RED,RED,RED,,2022-11-02T07:20:02-04:00,2022-11-02T07:20:02-04:00
889d894b-a05a-ed11-aac1-0afb9334277d,399d894b-a05a-ed11-aac1-0afb9334277d,199d894b-a05a-ed11-aac1-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,18420.454007666667,18421.067534125003,YELLOW,YELLOW,BLUE,,2022-11-02T07:20:03-04:00,2022-11-02T07:20:03-04:00
