SurveyReactionTimeResultKey,SurveyStepResultKey,SurveyResultKey,ParticipantIdentifier,ReactionTime,StartDate,EndDate
920da8d7-af40-ed11-aac0-0afb9334277d,7e0da8d7-af40-ed11-aac0-0afb9334277d,6a0da8d7-af40-ed11-aac0-0afb9334277d,6d9ce034-4fcd-407e-9e35-9dd9caafe1fe,177675.13711887502,2022-09-30T07:05:32-04:00,2022-09-30T07:05:32-04:00
960da8d7-af40-ed11-aac0-0afb9334277d,7e0da8d7-af40-ed11-aac0-0afb9334277d,6a0da8d7-af40-ed11-aac0-0afb9334277d,6d9ce034-4fcd-407e-9e35-9dd9caafe1fe,177682.79221733334,2022-09-30T07:05:40-04:00,2022-09-30T07:05:40-04:00
9a0da8d7-af40-ed11-aac0-0afb9334277d,7e0da8d7-af40-ed11-aac0-0afb9334277d,6a0da8d7-af40-ed11-aac0-0afb9334277d,6d9ce034-4fcd-407e-9e35-9dd9caafe1fe,177694.24481250002,2022-09-30T07:05:51-04:00,2022-09-30T07:05:51-04:00
5df64417-b140-ed11-aac0-0afb9334277d,51f64417-b140-ed11-aac0-0afb9334277d,45f64417-b140-ed11-aac0-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,52999.291750125005,2022-09-30T07:14:27-04:00,2022-09-30T07:14:27-04:00
5ef64417-b140-ed11-aac0-0afb9334277d,51f64417-b140-ed11-aac0-0afb9334277d,45f64417-b140-ed11-aac0-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,53006.7377595,2022-09-30T07:14:34-04:00,2022-09-30T07:14:34-04:00
60f64417-b140-ed11-aac0-0afb9334277d,51f64417-b140-ed11-aac0-0afb9334277d,45f64417-b140-ed11-aac0-0afb9334277d,39d785c6-9e3d-44c2-88ec-2ce14ef923f9,53017.957908125005,2022-09-30T07:14:46-04:00,2022-09-30T07:14:46-04:00
f410ccd6-b140-ed11-aac0-0afb9334277d,e810ccd6-b140-ed11-aac0-0afb9334277d,df10ccd6-b140-ed11-aac0-0afb9334277d,2baee05a-5e5a-4436-8c25-2628d46d1e08,215045.10268983335,2022-09-30T07:19:51-04:00,2022-09-30T07:19:51-04:00
f510ccd6-b140-ed11-aac0-0afb9334277d,e810ccd6-b140-ed11-aac0-0afb9334277d,df10ccd6-b140-ed11-aac0-0afb9334277d,2baee05a-5e5a-4436-8c25-2628d46d1e08,215052.59824575001,2022-09-30T07:19:58-04:00,2022-09-30T07:19:58-04:00
f610ccd6-b140-ed11-aac0-0afb9334277d,e810ccd6-b140-ed11-aac0-0afb9334277d,df10ccd6-b140-ed11-aac0-0afb9334277d,2baee05a-5e5a-4436-8c25-2628d46d1e08,215063.93012437501,2022-09-30T07:20:10-04:00,2022-09-30T07:20:10-04:00
15fe095c-b640-ed11-aac0-0afb9334277d,08fe095c-b640-ed11-aac0-0afb9334277d,fdfd095c-b640-ed11-aac0-0afb9334277d,099765a5-a9c9-4fff-b297-a39eab517267,75049.588270875,2022-09-30T07:52:12-04:00,2022-09-30T07:52:12-04:00
