ParticipantIdentifier,datetime,trial_date,time,duration,keyboard_total_words,keyboard_total_autocorrections,keyboard_total_typing_duration,keyboard_total_emojis,keyboard_total_deletes,keyboard_typing_speed,keyboard_total_pauses,keyboard_total_typing_episodeskeyboard_sentiment_emoji_absolutist,keyboard_sentiment_emoji_down,keyboard_sentiment_emoji_death,keyboard_sentiment_emoji_anxiety,keyboard_sentiment_emoji_anger,keyboard_sentiment_emoji_health,keyboard_sentiment_emoji_positive,keyboard_sentiment_emoji_sad,keyboard_sentiment_emoji_lowEnergy,keyboard_sentiment_emoji_confused,keyboard_sentiment_word_absolutist,keyboard_sentiment_word_down,keyboard_sentiment_word_death,keyboard_sentiment_word_anxiety,keyboard_sentiment_word_anger,keyboard_sentiment_word_health,keyboard_sentiment_word_positive,keyboard_sentiment_word_sad,keyboard_sentiment_word_lowEnergy,keyboard_sentiment_word_confused,keyboard_total_typing_episodes,keyboard_sentiment_emoji_absolutist
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-23 09:11:18-04:00,2022-10-23,09:11:18,,21,8,28,0,10,4.550119763875308,0,,,,,,,,,,,,,,,,,,,,,2.0,
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-23 16:44:18-04:00,2022-10-23,16:44:18,,10,3,9.408535957336426,0,0,5.3143232904296385,0,,,,,,,,,,,,,,,,,,,,,1.0,
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-23 13:02:30-04:00,2022-10-23,13:02:30,,33,5,38,0,10,4.844023157083919,0,,,,,,,,,,,,,,,,,,,,,3.0,
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-23 13:02:30-04:00,2022-10-23,13:02:30,,33,5,38,0,10,4.844023157083919,0,,,,,,,,,,,,,,,,,,,,,3.0,
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-23 09:11:18-04:00,2022-10-23,09:11:18,,21,8,28,0,10,4.550119763875308,0,,,,,,,,,,,,,,,,,,,,,2.0,
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-23 10:13:09-04:00,2022-10-23,10:13:09,,13,2,20,0,25,5.350850953276445,0,,,,,,,,,,,,,,,,,,,,,3.0,
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-23 07:25:52-04:00,2022-10-23,07:25:52,,9,0,18,1,8,3.7790610907352864,0,,,,,,,,,,,,,,,,,,,,,5.0,
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-23 08:05:49-04:00,2022-10-23,08:05:49,,18,1,33.01814270019531,0,28,4.058374554146965,0,,,,,,,,,,,,,,,,,,,,,1.0,
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-23 10:13:09-04:00,2022-10-23,10:13:09,,13,2,20,0,25,5.350850953276445,0,,,,,,,,,,,,,,,,,,,,,3.0,
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-23 08:21:11-04:00,2022-10-23,08:21:11,,29,8,35,0,12,4.8388095295085245,0,,,,,,,,,,,,,,,,,,,,,2.0,
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-23 15:34:05-04:00,2022-10-23,15:34:05,,20,5,40,0,25,3.5578788269520185,0,,,,,,,,,,,,,,,,,,,,,3.0,
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-22 18:03:06-04:00,2022-10-22,18:03:06,,12,6,18,0,5,4.006017254471744,0,,,,,,,,,,,,,,,,,,,,,2.0,
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-23 11:52:46-04:00,2022-10-23,11:52:46,,90,15,113,0,37,4.538043345601198,24,,,,,,,,,,,,,,,,,,,,,4.0,
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-23 12:13:10-04:00,2022-10-23,12:13:10,,105,24,207.2472381591797,0,216,3.927676083815653,26,,,,,,,,,,,,,,,,,,,,,5.0,
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-23 13:02:30-04:00,2022-10-23,13:02:30,,33,5,38,0,10,4.844023157083919,0,,,,,,,,,,,,,,,,,,,,,3.0,
6b827de8-fe47-4007-aad3-202655b954e3,2022-10-22 08:26:42-04:00,2022-10-22,08:26:42,,42,0,60,0,24,3.8152317105833076,0,,,,,,,,,,,,,,,,,,,,,3.0,
14b58072-ae3b-491e-a8ca-207f0d27ccf6,2022-10-23 11:24:28-04:00,2022-10-23,11:24:28,,64,10,65.92927551269531,0,23,5.64241024836435,69,,,,,,,,,,,,,,,,,,,,,3.0,
14b58072-ae3b-491e-a8ca-207f0d27ccf6,2022-10-23 11:24:28-04:00,2022-10-23,11:24:28,,64,10,65.92927551269531,0,23,5.64241024836435,69,,,,,,,,,,,,,,,,,,,,,3.0,
14b58072-ae3b-491e-a8ca-207f0d27ccf6,2022-10-23 19:22:22-04:00,2022-10-23,19:22:22,,46,13,44.99383544921875,0,15,6.045272512439307,5,,,,,,,,,,,,,,,,,,,,,2.0,
14b58072-ae3b-491e-a8ca-207f0d27ccf6,2022-10-23 19:22:22-04:00,2022-10-23,19:22:22,,46,13,44.99383544921875,0,15,6.045272512439307,5,,,,,,,,,,,,,,,,,,,,,2.0,
14b58072-ae3b-491e-a8ca-207f0d27ccf6,2022-10-23 15:59:40-04:00,2022-10-23,15:59:40,,13,1,28,0,19,3.351651183948416,5,,,,,,,,,,,,,,,,,,,,,5.0,
852b45ca-f506-42b2-b5bd-2b0072b1b28b,2022-10-23 15:42:09-04:00,2022-10-23,15:42:09,,34,2,35,0,1,3.9590384500152744,0,,,,,,,,,,,,,,,,,,,,,2.0,
852b45ca-f506-42b2-b5bd-2b0072b1b28b,2022-10-23 19:21:23-04:00,2022-10-23,19:21:23,,27,2,39,0,9,3.392560344572789,0,,,,,,,,,,,,,,,,,,,,,3.0,
852b45ca-f506-42b2-b5bd-2b0072b1b28b,2022-10-23 21:31:31-04:00,2022-10-23,21:31:31,,20,5,20,0,0,3.9916963190942174,6,,,,,,,,,,,,,,,,,,,,,5.0,
852b45ca-f506-42b2-b5bd-2b0072b1b28b,2022-10-23 22:47:14-04:00,2022-10-23,22:47:14,,110,16,148.8773651123047,0,20,3.237563921995165,27,,,,,,,,,,,,,,,,,,,,,5.0,
852b45ca-f506-42b2-b5bd-2b0072b1b28b,2022-10-23 08:59:46-04:00,2022-10-23,08:59:46,,41,5,46,0,4,3.943587203729896,0,,,,,,,,,,,,,,,,,,,,,4.0,
76acef3c-d659-4fdd-b258-3668a1597584,2022-10-22 12:18:44-04:00,2022-10-22,12:18:44,,32,3,31,1,7,4.707249511049328,5,,,,,,,,,,,,,,,,,,,,,5.0,
76acef3c-d659-4fdd-b258-3668a1597584,2022-10-23 09:11:50-04:00,2022-10-23,09:11:50,,24,2,48,1,14,2.4820586402684004,20,,,,,,,,,,,,,,,,,,,,,12.0,
76acef3c-d659-4fdd-b258-3668a1597584,2022-10-23 08:51:35-04:00,2022-10-23,08:51:35,,24,2,22,1,0,4.346279255983333,50,,,,,,,,,,,,,,,,,,,,,4.0,
b62eaadd-1819-41da-a70b-a46d4151db72,2022-10-23 12:15:56-04:00,2022-10-23,12:15:56,,23,0,20.108482360839844,0,9,6.06709175304755,0,,,,,,,,,,,,,,,,,,,,,1.0,
b62eaadd-1819-41da-a70b-a46d4151db72,2022-10-23 12:15:56-04:00,2022-10-23,12:15:56,,23,0,20.108482360839844,0,9,6.06709175304755,0,,,,,,,,,,,,,,,,,,,,,1.0,
b62eaadd-1819-41da-a70b-a46d4151db72,2022-10-22 22:55:35-04:00,2022-10-22,22:55:35,,43,0,26.863510131835938,0,0,5.993260038005467,0,,,,,,,,,,,,,,,,,,,,,1.0,
b62eaadd-1819-41da-a70b-a46d4151db72,2022-10-22 19:17:42-04:00,2022-10-22,19:17:42,,22,0,18,0,11,6.269893388366399,0,,,,,,,,,,,,,,,,,,,,,6.0,
38bcd1b2-f8bc-48ee-bff2-5bca24012983,2022-10-23 10:16:19-04:00,2022-10-23,10:16:19,,27,6,31,0,12,4.0034488924133464,0,,,,,,,,,,,,,,,,,,,,,1.0,
3bb57dd9-1d69-471c-b769-b3323748bb9f,2022-10-23 01:46:50-04:00,2022-10-22,01:46:50,,25,10,16,0,5,6.942391055515142,79,,,,,,,,,,,,,,,,,,,,,5.0,
3bb57dd9-1d69-471c-b769-b3323748bb9f,2022-10-23 22:14:18-04:00,2022-10-23,22:14:18,,9,0,6,0,0,5.851735456500126,0,,,,,,,,,,,,,,,,,,,,,2.0,
3bb57dd9-1d69-471c-b769-b3323748bb9f,2022-10-23 15:18:15-04:00,2022-10-23,15:18:15,,10,2,6.91720724105835,0,1,6.650082901958742,0,,,,,,,,,,,,,,,,,,,,,1.0,
3bb57dd9-1d69-471c-b769-b3323748bb9f,2022-10-23 15:42:42-04:00,2022-10-23,15:42:42,,9,0,6,0,3,6.492000543119409,12,,,,,,,,,,,,,,,,,,,,,4.0,
3bb57dd9-1d69-471c-b769-b3323748bb9f,2022-10-23 19:32:36-04:00,2022-10-23,19:32:36,,12,0,21,0,3,3.638870059912005,0,,,,,,,,,,,,,,,,,,,,,3.0,
3bb57dd9-1d69-471c-b769-b3323748bb9f,2022-10-23 17:55:25-04:00,2022-10-23,17:55:25,,11,2,10,0,7,5.40011067101275,0,,,,,,,,,,,,,,,,,,,,,4.0,
9330d6d9-c667-43be-b437-a3c988dd10d7,2022-10-23 02:00:17-04:00,2022-10-22,02:00:17,,8,3,9.56698226928711,0,5,3.867468205847232,0,,,,,,,,,,,,,,,,,,,,,1.0,
9330d6d9-c667-43be-b437-a3c988dd10d7,2022-10-22 19:04:49-04:00,2022-10-22,19:04:49,,8,0,12,0,7,1.6855497834964084,27,,,,,,,,,,,,,,,,,,,,,5.0,
43adea65-466c-4891-8bd9-301c4d6560c8,2022-10-23 10:57:32-04:00,2022-10-23,10:57:32,,23,8,23,4,13,6.199246119989179,0,,,,,,,,,,,,,,,,,,,,,4.0,
43adea65-466c-4891-8bd9-301c4d6560c8,2022-10-23 18:32:45-04:00,2022-10-23,18:32:45,,28,1,19,0,11,7.299905623951715,14,,,,,,,,,,,,,,,,,,,,,6.0,
43adea65-466c-4891-8bd9-301c4d6560c8,2022-10-23 19:47:06-04:00,2022-10-23,19:47:06,,23,3,15,1,10,7.070277031654289,0,,,,,,,,,,,,,,,,,,,,,7.0,
43adea65-466c-4891-8bd9-301c4d6560c8,2022-10-23 00:08:09-04:00,2022-10-22,00:08:09,,22,1,22,3,13,5.3725350741626965,0,,,,,,,,,,,,,,,,,,,,,5.0,
43adea65-466c-4891-8bd9-301c4d6560c8,2022-10-23 19:47:06-04:00,2022-10-23,19:47:06,,23,3,15,1,10,7.070277031654289,0,,,,,,,,,,,,,,,,,,,,,7.0,
