ParticipantIdentifier,datetime,trial_date,time,visits_gym_elapsedTime,visits_gym_startTime,visits_gym_distance,visits_home_elapsedTime,visits_home_startTime,visits_home_distance,visits_school_startTime,visits_school_elapsedTime,visits_school_distance,visits_unknown_startTime,visits_unknown_elapsedTime,visits_unknown_distance,visits_work_startTime,visits_work_elapsedTime,visits_work_distance
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-21 20:45:00-04:00,2022-10-21,20:45:00,,,,50400.0,2022-10-21 20:45:00-04:00,0,,,,,,,,,
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-23 00:30:00-04:00,2022-10-22,00:30:00,,,,23400.0,2022-10-23 00:30:00-04:00,0,,,,,,,,,
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-23 07:00:00-04:00,2022-10-23,07:00:00,,,,,,,,,,2022-10-23 07:00:00-04:00,7200.0,3612.7481456446753,,,
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-22 11:15:00-04:00,2022-10-22,11:15:00,,,,,,,,,,2022-10-22 11:15:00-04:00,18900.0,13095.953296543235,,,
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-22 16:45:00-04:00,2022-10-22,16:45:00,,,,,,,,,,2022-10-22 16:45:00-04:00,900.0,13023.171259578767,,,
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-22 17:15:00-04:00,2022-10-22,17:15:00,,,,,,,,,,2022-10-22 17:15:00-04:00,8100.0,13147.651331833895,,,
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-22 20:00:00-04:00,2022-10-22,20:00:00,,,,,,,,,,2022-10-22 20:00:00-04:00,12600.0,12873.277791488335,,,
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-23 09:00:00-04:00,2022-10-23,09:00:00,,,,,,,,,,2022-10-23 09:00:00-04:00,900.0,2975.601542962947,,,
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-21 18:15:00-04:00,2022-10-21,18:15:00,,,,,,,,,,2022-10-21 18:15:00-04:00,7200.0,2487.155139306872,,,
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-21 09:30:00-04:00,2022-10-21,09:30:00,,,,30600.0,2022-10-21 09:30:00-04:00,0,,,,,,,,,
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-21 20:30:00-04:00,2022-10-21,20:30:00,,,,,,,,,,2022-10-21 20:30:00-04:00,450.0,2892.09799361717,,,
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-22 20:00:00-04:00,2022-10-22,20:00:00,,,,,,,,,,2022-10-22 20:00:00-04:00,12600.0,12873.277791488335,,,
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-23 09:00:00-04:00,2022-10-23,09:00:00,,,,,,,,,,2022-10-23 09:00:00-04:00,900.0,2975.601542962947,,,
6b827de8-fe47-4007-aad3-202655b954e3,2022-10-19 12:00:00-04:00,2022-10-19,12:00:00,,,,,,,,,,2022-10-19 12:00:00-04:00,2700.0,5075.670766121833,,,
6b827de8-fe47-4007-aad3-202655b954e3,2022-10-18 12:30:00-04:00,2022-10-18,12:30:00,,,,,,,,,,2022-10-18 12:30:00-04:00,10800.0,10418.350042485585,,,
852b45ca-f506-42b2-b5bd-2b0072b1b28b,2022-10-22 21:00:00-04:00,2022-10-22,21:00:00,,,,,,,,,,2022-10-22 21:00:00-04:00,450.0,53578.861442878755,,,
852b45ca-f506-42b2-b5bd-2b0072b1b28b,2022-10-22 21:15:00-04:00,2022-10-22,21:15:00,,,,,,,,,,2022-10-22 21:15:00-04:00,7200.0,53578.861442878755,,,
852b45ca-f506-42b2-b5bd-2b0072b1b28b,2022-10-22 18:30:00-04:00,2022-10-22,18:30:00,,,,,,,,,,2022-10-22 18:30:00-04:00,1800.0,6289.687525806491,,,
852b45ca-f506-42b2-b5bd-2b0072b1b28b,2022-10-22 15:30:00-04:00,2022-10-22,15:30:00,,,,,,,,,,2022-10-22 15:30:00-04:00,8100.0,7962.178435818838,,,
852b45ca-f506-42b2-b5bd-2b0072b1b28b,2022-10-21 22:45:00-04:00,2022-10-21,22:45:00,,,,,,,,,,2022-10-21 22:45:00-04:00,4500.0,13298.33589428647,,,
852b45ca-f506-42b2-b5bd-2b0072b1b28b,2022-10-22 19:15:00-04:00,2022-10-22,19:15:00,,,,,,,,,,2022-10-22 19:15:00-04:00,450.0,6086.576712339762,,,
852b45ca-f506-42b2-b5bd-2b0072b1b28b,2022-10-22 20:00:00-04:00,2022-10-22,20:00:00,,,,,,,,,,2022-10-22 20:00:00-04:00,450.0,53086.00596014969,,,
852b45ca-f506-42b2-b5bd-2b0072b1b28b,2022-10-22 20:30:00-04:00,2022-10-22,20:30:00,,,,,,,,,,2022-10-22 20:30:00-04:00,900.0,54463.109764364985,,,
852b45ca-f506-42b2-b5bd-2b0072b1b28b,2022-10-22 00:30:00-04:00,2022-10-21,00:30:00,,,,26100.0,2022-10-22 00:30:00-04:00,0,,,,,,,,,
852b45ca-f506-42b2-b5bd-2b0072b1b28b,2022-10-22 13:15:00-04:00,2022-10-22,13:15:00,,,,6300.0,2022-10-22 13:15:00-04:00,0,,,,,,,,,
852b45ca-f506-42b2-b5bd-2b0072b1b28b,2022-10-21 22:15:00-04:00,2022-10-21,22:15:00,,,,,,,,,,2022-10-21 22:15:00-04:00,900.0,5456.761712226846,,,
852b45ca-f506-42b2-b5bd-2b0072b1b28b,2022-10-22 07:45:00-04:00,2022-10-22,07:45:00,,,,,,,,,,2022-10-22 07:45:00-04:00,18000.0,5456.761712226846,,,
852b45ca-f506-42b2-b5bd-2b0072b1b28b,2022-10-22 18:00:00-04:00,2022-10-22,18:00:00,,,,,,,,,,2022-10-22 18:00:00-04:00,900.0,5456.761712226846,,,
852b45ca-f506-42b2-b5bd-2b0072b1b28b,2022-10-23 00:15:00-04:00,2022-10-22,00:15:00,,,,,,,,,,2022-10-23 00:15:00-04:00,450.0,5456.761712226846,,,
b62eaadd-1819-41da-a70b-a46d4151db72,2022-10-21 11:15:00-04:00,2022-10-21,11:15:00,,,,,,,,,,,,,2022-10-21 11:15:00-04:00,5400.0,17372.49167288185
b62eaadd-1819-41da-a70b-a46d4151db72,2022-10-21 21:45:00-04:00,2022-10-21,21:45:00,,,,68400.0,2022-10-21 21:45:00-04:00,0,,,,,,,,,
b62eaadd-1819-41da-a70b-a46d4151db72,2022-10-21 21:45:00-04:00,2022-10-21,21:45:00,,,,68400.0,2022-10-21 21:45:00-04:00,0,,,,,,,,,
38bcd1b2-f8bc-48ee-bff2-5bca24012983,2022-10-22 12:15:00-04:00,2022-10-22,12:15:00,,,,,,,,,,2022-10-22 12:15:00-04:00,41400.0,2645.500954746435,,,
38bcd1b2-f8bc-48ee-bff2-5bca24012983,2022-10-21 20:30:00-04:00,2022-10-21,20:30:00,,,,55800.0,2022-10-21 20:30:00-04:00,0,,,,,,,,,
8a5a92f3-472a-4a39-bfd8-f43f60fdcd27,2022-10-19 17:30:00-04:00,2022-10-19,17:30:00,,,,6300.0,2022-10-19 17:30:00-04:00,0,,,,,,,,,
8a5a92f3-472a-4a39-bfd8-f43f60fdcd27,2022-10-19 20:15:00-04:00,2022-10-19,20:15:00,,,,60300.0,2022-10-19 20:15:00-04:00,0,,,,,,,,,
8a5a92f3-472a-4a39-bfd8-f43f60fdcd27,2022-10-20 15:30:00-04:00,2022-10-20,15:30:00,,,,70200.0,2022-10-20 15:30:00-04:00,0,,,,,,,,,
8a5a92f3-472a-4a39-bfd8-f43f60fdcd27,2022-10-21 13:00:00-04:00,2022-10-21,13:00:00,,,,86400.0,2022-10-21 13:00:00-04:00,0,,,,,,,,,
8a5a92f3-472a-4a39-bfd8-f43f60fdcd27,2022-10-10 16:15:00-04:00,2022-10-10,16:15:00,,,,346500.0,2022-10-10 16:15:00-04:00,0,,,,,,,,,
8a5a92f3-472a-4a39-bfd8-f43f60fdcd27,2022-10-18 17:30:00-04:00,2022-10-18,17:30:00,,,,54900.0,2022-10-18 17:30:00-04:00,0,,,,,,,,,
8a5a92f3-472a-4a39-bfd8-f43f60fdcd27,2022-10-19 14:15:00-04:00,2022-10-19,14:15:00,,,,7200.0,2022-10-19 14:15:00-04:00,0,,,,,,,,,
8a5a92f3-472a-4a39-bfd8-f43f60fdcd27,2022-10-19 17:30:00-04:00,2022-10-19,17:30:00,,,,6300.0,2022-10-19 17:30:00-04:00,0,,,,,,,,,
d11241a0-932e-4931-83ee-f3d28f66875f,2022-10-21 20:30:00-04:00,2022-10-21,20:30:00,,,,71100.0,2022-10-21 20:30:00-04:00,0,,,,,,,,,
d11241a0-932e-4931-83ee-f3d28f66875f,2022-10-22 16:45:00-04:00,2022-10-22,16:45:00,,,,103500.0,2022-10-22 16:45:00-04:00,0,,,,,,,,,
a01397bb-a8a5-4cd1-af6f-6ace410f125d,2022-10-19 13:30:00-04:00,2022-10-19,13:30:00,,,,,,,,,,,,,2022-10-19 13:30:00-04:00,16200.0,14166.727126832904
a01397bb-a8a5-4cd1-af6f-6ace410f125d,2022-10-20 12:30:00-04:00,2022-10-20,12:30:00,,,,,,,,,,,,,2022-10-20 12:30:00-04:00,9000.0,14166.727126832904
a01397bb-a8a5-4cd1-af6f-6ace410f125d,2022-10-19 18:45:00-04:00,2022-10-19,18:45:00,,,,61200.0,2022-10-19 18:45:00-04:00,0,,,,,,,,,
a01397bb-a8a5-4cd1-af6f-6ace410f125d,2022-10-21 18:30:00-04:00,2022-10-21,18:30:00,,,,,,,,,,2022-10-21 18:30:00-04:00,450.0,12377.45527565538,,,
